ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
PVAe 2, ,,ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, abruptico",,,,,media/muito argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, abruptico - PVAe 2"
PVd 1, ,,moderadamente ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO, Distrofico, abruptico",,,,,media/muito argilosa,,,,,"ARGISSOLO, VERMELHO, Distrofico, abruptico - PVd 1"
PVe 1, ,,ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO, Eutrofico, abruptico",,,,,media/muito argilosa,,,,,"ARGISSOLO, VERMELHO, Eutrofico, abruptico - PVe 1"
RLe 1,epipedregosa,,forte ondulado,0.6375,,,,0,,,,0,,,,0,,,,0,0.6375,"NEOSSOLO, LITOLICO, Eutrofico, tipico",,,,,media,,,,,"NEOSSOLO, LITOLICO, Eutrofico, tipico - RLe 1"
RLe 2,epipedregosa,,montanhoso,0.6375,,,,0,,,,0,,,,0,,,,0,0.6375,"NEOSSOLO, LITOLICO, Eutrofico, tipico",,,,,media,,,,,"NEOSSOLO, LITOLICO, Eutrofico, tipico - RLe 2"
RLe 3,pedregosa,,montanhoso e escarpado,0.525,,,,0,,,,0,,,,0,,,,0,0.525,"NEOSSOLO, LITOLICO, Eutrofico, tipico",,,,,media,,,,,"NEOSSOLO, LITOLICO, Eutrofico, tipico - RLe 3"
RLeh 1,pedregosa,,suave ondulado,0.525,,,,0,,,,0,,,,0,,,,0,0.525,"NEOSSOLO, LITOLICO, Eutro-umbrico, fragmentario",,,,,media,,,,,"NEOSSOLO, LITOLICO, Eutro-umbrico, fragmentario - RLeh 1"
RLeh 2,pedregosa,,forte ondulado,0.3,,,,0,,,,0,,,,0,,,,0,0.3,"NEOSSOLO, LITOLICO, Eutro-umbrico, fragmentario",,,,,media cascalhenta,,,,,"NEOSSOLO, LITOLICO, Eutro-umbrico, fragmentario - RLeh 2"
RLeh 3,pedregosa,,forte ondulado,0.525,,,,0,,,,0,,,,0,,,,0,0.525,"NEOSSOLO, LITOLICO, Eutro-umbrico, tipico",,,,,media,,,,,"NEOSSOLO, LITOLICO, Eutro-umbrico, tipico - RLeh 3"
RLh,pedregosa,,ondulado,0.525,,,,0,,,,0,,,,0,,,,0,0.525,"NEOSSOLO, LITOLICO, Humico, tipico",,,,,media,,,,,"NEOSSOLO, LITOLICO, Humico, tipico - RLh"
RLm,pedregosa,,forte ondulado,0.525,,,,0,,,,0,,,,0,,,,0,0.525,"NEOSSOLO, LITOLICO, Chernossolico, fragmentario",,,,,media,,,,,"NEOSSOLO, LITOLICO, Chernossolico, fragmentario - RLm"
RRdh,pedregosa,,moderadamente ondulado,0.525,,,,0,,,,0,,,,0,,plano e suave ondulado,,0,0.525,"NEOSSOLO, LITOLICO, Distro-umbrico, fragmentario",,,,"GLEISSOLOS, alico e distrofico, tipico",media,,,,"argilosa, media","NEOSSOLO, LITOLICO, Distro-umbrico, fragmentario - RRdh"
